tweet_id	link	retweets
746155519161802752	https://t.co/1iuaAoBBG2	741827506416852993:755467638382493696 2784072818:755348457791991808 3026323749:755292284153978880 1403703943:755243029410086912 131798676:755201449483575301 2602025082:755197656041922561 2303724916:755167028261027840 3294639981:755166699222142976 257107656:755156981585944576 1058489468:755131237602328576 723407612402786304:755120716572426242 3230070038:754916136773259264 2985067898:754913541228945408 3190190498:754912302135070720 3127733316:754904745505153025 2333788744:754900088376262659 1643529440:754898972909658114 3574381755:754898205716967424 1018263614:754895889345290240
745712799792324608	https://t.co/F9ODpJaPh0	3026323749:755292311500812289 820695091:755270253492314113 1403703943:755243089162141696 3294639981:755166636395692032 257107656:755156755697508352 1058489468:755131283030802432 4078155701:754914480941854720 190513568:754900476496404481 2333788744:754900056977739776 1643529440:754898877187235840 3574381755:754898228886249472 1018263614:754895911474475008 3375319007:754865172989243392 3294410447:754865113535016961 1086991982:754809745081589760 754784349468450816:754790400204865537 490805535:754713291453304832 4665849084:754500500276383744 4803265818:754497583779713025 3350542841:754318212293074944
744599463969198081	https://t.co/EXgsDIPmku	3026323749:755292350121926661 1403703943:755243203540856833 4716776602:755207028650434560 257107656:755156723170705408 1058489468:755131320234278912 610995212:754908640553861121 3574381755:754908503379173376 3375319007:754865209605488641 3294410447:754865163262693376 1086991982:754809718800089088 754784349468450816:754790373948526592 490805535:754713393660059648 4665849084:754500524360159233 4803265818:754497606093418497 257107656:754426275062833152 3026323749:754210084532674560 2930763639:754141660494303232 703748520679837696:754082439094345728 754033410151034880:754056540764512256 3580052533:754018042372206592
744350080447045632	https://t.co/1iuaAok0hs	3026323749:755292366026772480 1403703943:755243261627736064 257107656:755156712051605504 3190190498:754912336431882242 610995212:754908625307656193 3574381755:754908523075661824 3375319007:754865253054316544 3294410447:754865189128994816 1086991982:754809706254835712 754784349468450816:754790352628936705 732083341382451201:754573967948525569 4803265818:754497633633173504 3052852887:754466829708455936 2785996796:754256373722984449 3026323749:754210108503105537 3380265017:754172235104083968 703748520679837696:754082418517172224 754033410151034880:754056564802060290 2751783088:753899179559227392 2902860964:753844308319440896
743582670341341185	https://t.co/UTrmlIm8Mu	3026323749:755292398910046208 1403703943:755243330124992512 257107656:755156646574391296 1909474633:754872070631149568 3574381755:754870760511078402 3375319007:754865430934716421 1086991982:754809681344925700 754784349468450816:754790313848410112 490805535:754713474597580801 4803265818:754497686175256577 3026323749:754210231685619712 2861363627:754100037173534720 703748520679837696:754082333087510528 754033410151034880:754056649023721472 3580052533:754018086940925953 716281651257597952:753930306353242112 2751783088:753899225944035329 3425150085:753707840179765248 368619571:753701881591963649
743579175953412096	https://t.co/kymqRkIKx8	3408863590:755447487398305792 2784072818:755348477823946752 3026323749:755292405667160064 1403703943:755243342703702018 755152393923235840:755153029607718912 755148161207840768:755148903163363328 755146820112613376:755147685670170624 1058489468:755131397715660800 3407910719:755094248039546880 754996129230618624:755021983717490689 721446343634501632:754964841954172928 3230070038:754916191798304768 3190190498:754912354001833984 3127733316:754904804091162624 3559571595:754893679886757888 437730508:754871450734125057 762010231:754869098639654912 610995212:754869052720484352 3328149185:754866054178959361 257107656:754865849715097600
743122534657187840	https://t.co/weUcGKCszb	3536203515:755499614132994049 754914529729998848:755380531165007872 2784072818:755348486388797441 3026323749:755292454153293825 154003562:755284073216487425 1403703943:755243452556730368 472400505:755201939126808576 257107656:755156597131927552 1058489468:755131427147186184 3465500172:755100680038211584 3407910719:755094275856142336 2917227229:754989610757869568 2796553841:754956051464744960 3190190498:754912379360587776 721511777662414848:754901077204475904 986846868:754896661839740936 2949790533:754896089795301376 3559571595:754893519786012672 3328149185:754871121611223040 3574381755:754869978764107776
742787624650215424	https://t.co/k0PqaSLeQY	3026323749:755292554741084160 1403703943:755243542545518593 1058489468:755131469677363200 3328149185:754870936537563136 257107656:754869994085871616 3574381755:754869945541033984 3375319007:754868896197447681 1086991982:754809607122522116 754784349468450816:754790183984332800 2861314223:754737036528091136 732083341382451201:754574129462816768 4803265818:754497765426630657 3026323749:754211972867121153 2861363627:754101396413227008 703748520679837696:754082124253106180 3580052533:754018161444335616 826920212:753874078629519360 141680286:753828335419961344 3425150085:753707920613838848 368619571:753701967675793408
742315353850552320	https://t.co/QGlyMCbTPZ	3026323749:755292574668230656 1403703943:755243612632256513 3328149185:754870998390931456 257107656:754870004206694400 3574381755:754869955754156037 3375319007:754865623835013121 1086991982:754809585827999744 754784349468450816:754790144478150656 4803265818:754497808665812992 3026323749:754212004659859456 2861363627:754101437756534788 2751783088:753899368286130177 368619571:753701988525670400 3026323749:753658944195788800 863953345:753631765462327296 3274851049:753627107951915008 4606189410:753583141965574145 1319061848:753437196397449216 3425150085:753401271315496960 1483316034:753381382630608896
742096840988889088	https://t.co/dj	
