id	screen_name	followers_count
18946688	NinjaBeeGames	13639
619549983	abandofbitches	11191
15665394	climatecamp	10648
33296717	ThisIsACOP	4586
39956893	WhereisADTR	1017380
95563693	afewgoodmen337	2506
69354394	aFineFrenzy185	850
14630262	__lizfranco	2650
2478737114	Fl0ck0fSeagulls	59
34889335	afriendinlondon	9047
70192700	agiantdog	1501
102936044	agiftoflove	645
632340157	AGreatBigWorld	55559
22000149	guycalledgerald	10925
397898880	a_syota	1073
484148924	ALifeOnceLost1	164
33936481	ALoss4Words	18235
104027803	alotlikebirds	10291
172049453	aperfectcircle	127905
296442457	aplusapp	74593
18445799	a__qiao211	3
2946584554	arizona_music	2880
44394333	ARTTM	95505
16736552	asilentfilm	8770
15985624	ASkylitDrive	132855
121190221	asotband	633
100881649	America_Young	4514
34029367	astaticlullaby	3214
207752060	ATasteofHoneyTV	157
164448259	athousandhorses	26640
173567714	A_T_C_Q	7425
125465007	atribecalledred	32719
62209286	AWILHELMSCREAM	14030
2585886486	AWVFTS	4267
132909708	TJMIZELL	4697
394590995	ASAPMOB	392934
1089204217	ASAPRockyTRILL	430321
2279529930	Destryer34	92
2885760140	AVEST_vol9	2703
4106689693	amelorainmusic	23
123175556	TheRockateens	509
940631	a	146758
148869627	PremierBradWall	62828
110840570	officialdubtrio	2884
2335607864	2Ag2ake	188
19083832	aha_com	50439
1962891	FilmingDocs	2709
2968265921	acrotownebot	21
22171876	atrakinfinity	2837
1077214808	GovInslee	25967
21883391	WaxFase	9506
292561172	MarcoAB21	138
22412376	deadmau5	3609485
160380306	AlejandroPappa	542
314239617	AJayPopoff	2483
16487191	hodgesmusic	38548
23177562	BondiVet	97947
39820244	deathstarz	425
1550813095	magicboy201	12928
3373001949	a78656f111c3492	0
2279612749	RussAlanWill	815
1028012809	IsabellaLaboeck	4470
201827903	DunkinPhilly	14242
95588678	cho_ag	72557
4520107094	b_j_a_2015	1
104907532	MClaudeBarrette	31177
55887179	artbyajb	639
2827246090	aarondunning	2
37401765	AJMcLeanSpain	3727
187651463	AJMinette	2372
17875674	djajmora	1361
50165747	CPerdomo28	2198
216873166	iCabronJ	2306
420584803	AlejaVallejo1	637
35141162	AudreyKarrasch	4058
64332417	DevonWebster	481
37802090	CarloMondavi	3517
459599920	blcmk	121842
19895282	arrahman	11256666
550650478	GabrielRochaCR	13390
2583762356	A3_CharaCharge	24477
2428462464	a7Susers	2708
15690243	AAAnews	58390
19433528	AaliyahHaughton	99378
863579634	AalonCruz	138
75202710	AarifFan	872
4785	aaron	5118
4785	aaron	5118
242745034	amandascrabb	7101
